genre,level,title,time
Comedy,"R (for some strong sexuality, and language throughout)",Bridesmaids,13-May-11
Drama,R (for sexual content and language),Pariah,28-Dec-11
Art House & InternationalDrama,NR,Tomboy,16-Nov-11
Action & AdventureArt House & International,"R (for sequences of bloody violence, some disturbing images and brief nudity)",13 Assassins,29-Apr-11
Documentary,G,Born To Be Wild,8-Apr-11
ComedyDrama,"R (for language throughout, sexual content and some drug use.)",50/50,30-Sep-11
ComedyDrama,R (for language),Win Win,18-Mar-11
ComedyRomance,PG-13 (for some sexual references and smoking),Midnight in Paris,10-Jun-11
Kids & FamilyMystery & Suspense,"PG (for mild thematic material, some action/peril and smoking)",Hugo,23-Nov-11
DocumentarySpecial Interest,G,Cave of Forgotten Dreams,29-Apr-11
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for some violence including disturbing images, and for language)",Source Code,1-Apr-11
Action & AdventureDramaMystery & Suspense,"R (for strong brutal bloody violence, language and some nudity)",Drive,16-Sep-11
Action & AdventureMystery & Suspense,PG-13 (for sequences of intense action and violence),Mission: Impossible Ghost Protocol,21-Dec-11
DocumentaryMusical & Performing Arts,NR,Bill Cunningham New York,19-Sep-11
Documentary,NR,We Were Here,15-May-12
DocumentaryMusical & Performing Arts,NR,Everyday Sunshine: The Story of Fishbone,6-Mar-12
Art House & InternationalDocumentaryDrama,NR,Nostalgia for the Light,18-Mar-11
Art House & InternationalDocumentary,"PG-13 (for some strong language, drug content, thematic elements and disturbing images)",Project Nim,7-Feb-12
DocumentarySpecial Interest,NR,The Interrupters,13-Feb-12
ComedyDrama,PG,Le Havre,21-Oct-11
Art House & InternationalDrama,NR,Poetry,11-Feb-11
ComedyKids & Family,PG (for some mild rude humor),The Muppets,23-Nov-11
Drama,PG-13 (for some strong language),Moneyball,23-Sep-11
Art House & InternationalDrama,PG-13 (for mature thematic material),A Separation,30-Dec-11
ComedyDramaRomance,PG-13 (for a disturbing image and a crude gesture),The Artist,25-Nov-11
Action & AdventureDramaKids & FamilyMystery & SuspenseScience Fiction & Fantasy,PG-13 (some sequences of intense action violence and frightening images),Harry Potter and the Deathly Hallows - Part 2,15-Jul-11
Art House & InternationalDrama,G,The Girl on the Train (La Fille du RER),22-Jan-10
Art House & InternationalDrama,NR,How I Ended This Summer,28-Jan-10
Action & AdventureArt House & InternationalDramaMystery & SuspenseWestern,"R (for strong bloody violence, and language)",Red Hill,5-Nov-10
ComedyDrama,"R (for some strong sexuality, drug use, and language)",Greenberg,26-Mar-10
DramaRomance,"R (for language, some sexuality and violence)",Night Catches Us,3-Dec-10
DocumentarySpecial Interest,"PG (for thematic material, images of destruction and incidental smoking)",Countdown to Zero,23-Jul-10
ComedyDrama,R (for language and some sexual content),Solitary Man,21-May-10
Drama,"R (for sexuality, brief nudity, and language)",Mother and Child,7-May-10
Action & AdventureScience Fiction & Fantasy,"PG-13 (for sequences of intense sci-fi action and violence, and some language)",Iron Man 2,28-Sep-10
Action & AdventureArt House & InternationalDrama,"R (for strong brutal violence, some sexual content and language)",Mesrine: Killer Instinct (L'instinct de mort),27-Aug-10
DocumentaryDrama,G,Disneynature Oceans,22-Apr-10
Art House & InternationalDramaRomance,PG (for mild thematic elements and smoking),Cairo Time,6-Aug-10
Action & AdventureDrama,"R (adult situations/language, sex, violence)",Mesrine: Public Enemy #1,3-Sep-10
Mystery & Suspense,"R (for violent content, pervasive language and some sexuality/nudity)",The Disappearance of Alice Creed,6-Aug-10
DocumentarySpecial Interest,R (for some language),Casino Jack And The United States Of Money,7-May-10
HorrorScience Fiction & Fantasy,"R (for disturbing elements including strong sexuality, nudity, sci-fi violence and language)",Splice,4-Jun-10
Drama,R (for language and brief sexuality),Made in Dagenham,19-Nov-10
Comedy,"PG-13 (for sexual content, smoking and language)",City Island,19-Mar-10
Action & AdventureComedy,"PG-13 (for crude and sexual content, language, violence and some drug material)",The Other Guys,6-Aug-10
Art House & InternationalComedyDrama,NR,Mademoiselle Chambon,11-Jun-10
Drama,R (for language and a scene of sexuality),Nowhere Boy,8-Oct-10
Comedy,NR,Tiny Furniture,12-Nov-10
DocumentaryDramaSpecial Interest,PG-13 (for some sexual references),Catfish,4-Jan-11
Comedy,R (for language and some sexual material),Cyrus,18-Jun-10
Action & AdventureComedyDrama,"R (for strong brutal violence throughout, pervasive language, sexual content, nudity and some drug use -- some involving children)",Kick-Ass,16-Apr-10
Action & AdventureArt House & InternationalWestern,R (for nonstop violence and some drug use),"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)",23-Apr-10
Action & AdventureDrama,NR,North Face (Nordwand),29-Jan-10
Action & AdventureDramaMystery & Suspense,PG-13 (for some language),Fair Game,5-Nov-10
Action & AdventureDramaKids & FamilyMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for some sequences of intense action violence, frightening images and brief sexuality)",Harry Potter and the Deathly Hallows - Part 1,19-Nov-10
Art House & InternationalDrama,R (for sexuality and nudity),I Am Love,18-Jun-10
Art House & InternationalDramaRomance,NR,Kisses,16-Jul-10
DocumentaryMusical & Performing Arts,PG,The Art Of The Steal,27-Jul-10
ComedyDrama,"R (for language throughout, including some sexual references)",Four Lions,5-Nov-10
Horror,NR,Red Riding Trilogy,
Art House & InternationalComedyDramaSports & Fitness,G,Looking for Eric,14-May-10
Art House & InternationalDramaMystery & Suspense,NR,Farewell (L'affaire Farewell),23-Jul-10
Action & AdventureDocumentaryMystery & SuspenseSpecial Interest,R (for violence and language),The Square,9-Apr-10
Art House & InternationalDrama,NR,White Material,19-Nov-10
Action & AdventureComedyRomance,"PG-13 (for stylized violence, sexual content, language and drug references)",Scott Pilgrim vs. the World,13-Aug-10
DramaMystery & SuspenseRomance,PG-13 (for some thematic material and brief violent content),Get Low,30-Jul-10
Art House & InternationalDramaMystery & Suspense,PG,Terribly Happy (Frygtelig lykkelig),1-Feb-10
Comedy,"R (for language, some sexual content and nudity)",Please Give,30-Apr-10
Mystery & Suspense,R (for language and some violent content),Buried,24-Sep-10
Art House & InternationalComedyDramaRomance,NR,Alle Anderen (Everyone Else),9-Apr-10
Art House & InternationalDrama,NR,The Father of My Children (Le pere de mes enfants),28-May-10
AnimationComedyKids & Family,PG (for rude humor and mild action),Despicable Me,9-Jul-10
Documentary,NR,Cropsey,4-Jun-10
Action & AdventureArt House & InternationalComedyDramaMystery & SuspenseScience Fiction & Fantasy,R (for some nudity and language),Rare Exports: A Christmas Tale,3-Dec-10
Drama,"PG-13 (for mature thematic material, some drug use and language)",Rabbit Hole,17-Dec-10
Art House & InternationalDrama,G,Alamar (To the Sea),14-Jul-10
DocumentarySpecial Interest,"R (for some sexual material, nudity and language)",Client 9: The Rise and Fall of Eliot Spitzer,5-Nov-10
DramaRomance,"R (On Appeal: for strong graphic sexual content, language, and a beating)",Blue Valentine,29-Dec-10
DramaMystery & Suspense,"PG-13 (for language, brief nudity/sexuality, some violence and a drug reference)",The Ghost Writer,19-Feb-10
ComedyRomance,"PG-13 (for mature thematic elements involving teen sexuality, language and some drug material)",Easy A,17-Sep-10
DocumentarySpecial Interest,"PG (for some thematic material, mild language and incidental smoking)",Waiting for Superman,24-Sep-10
Art House & InternationalDrama,R,Dogtooth (Kynodontas),25-Jun-10
AnimationDrama,NR,My Dog Tulip,1-Sep-10
Art House & InternationalDrama,NR,Lourdes,17-Feb-10
Action & AdventureDramaMystery & Suspense,"PG-13 (for sequences of action and peril, and some language)",Unstoppable,12-Nov-10
DramaMystery & Suspense,"R (for strong sexual content, disturbing violent images, language and some drug use)",Black Swan,3-Dec-10
Art House & InternationalDrama,NR,Vincere,19-Mar-10
Art House & InternationalClassicsDramaTelevision,NR,Carlos,15-Oct-10
Art House & InternationalDrama,"R (for disturbing bloody war violence, language including sexual references, and some nudity.)",Lebanon (Levanon),6-Aug-10
Art House & InternationalDramaMystery & SuspenseRomance,"R (for a rape scene, violent images, some graphic nudity and language)",The Secret in Their Eyes (El Secreto de Sus Ojos),16-Apr-10
DramaHorrorScience Fiction & FantasyRomance,"R (for strong bloody horror violence, language and a brief sexual situation)",Let Me In,1-Oct-10
AnimationArt House & InternationalKids & FamilyScience Fiction & Fantasy,G,The Secret of Kells,12-Mar-10
Art House & InternationalDrama,NR,Fish Tank,15-Jan-10
DocumentarySpecial Interest,R (for language),The Tillman Story,20-Aug-10
AnimationComedyKids & FamilyMusical & Performing Arts,PG (for brief mild violence),Tangled,24-Nov-10
DocumentarySpecial InterestSports & Fitness,NR,Boxing Gym,28-Jul-14
Art House & InternationalComedyDrama,NR,No One Knows About Persian Cats (Les Chats Persans),16-Apr-10
ComedyDocumentaryTelevision,NR,Best Worst Movie,23-Apr-10
ComedyDocumentaryTelevision,R (for language and sexual humor),Joan Rivers: A Piece Of Work,11-Jun-10
Action & AdventureDramaMystery & SuspenseScience Fiction & Fantasy,PG-13 (for sequences of violence and action throughout),Inception,16-Jul-10
ComedyDrama,PG-13 (for some language),Another Year,29-Dec-10
DramaSports & Fitness,"R (for language throughout, drug content, some violence and sexuality)",The Fighter,10-Dec-10
AnimationArt House & InternationalComedyDrama,PG (for thematic elements and smoking),The Illusionist (L'illusionniste),25-Dec-10
ComedyDocumentaryMusical & Performing ArtsSpecial Interest,R (for some language),Exit Through The Gift Shop,14-Dec-10
Art House & InternationalDocumentarySpecial InterestTelevision,NR (for disturbing images and Holocaust atrocities including graphic nudity),A Film Unfinished,1-Jan-11
Art House & InternationalDrama,NR,Ajami,3-Feb-10
Art House & InternationalComedyDramaRomance,NR,Samson and Delilah,15-Oct-10
Art House & InternationalDramaMystery & Suspense,"R (for language, some sexual content, violence and drug use)",Mother (Madeo),12-Mar-10
DocumentarySpecial Interest,R (for language throughout including some descriptions of violence),Restrepo,7-Dec-10
DocumentaryScience Fiction & Fantasy,NR,Marwencol,12-Apr-11
Art House & InternationalDrama,"R (for vioence, drug content and pervasive language)",Animal Kingdom,13-Aug-10
Action & AdventureDramaMystery & SuspenseRomance,"R (for strong violence, pervasive language, some sexuality and drug use)",The Town,17-Sep-10
Drama,R (for language and some disturbing violent content/bloody images),127 Hours,5-Nov-10
DocumentarySpecial Interest,PG-13 (for some drug and sex-related material),Inside Job,8-Oct-10
Drama,PG-13 (for some language),The King's Speech,26-Nov-10
Action & AdventureDramaWestern,PG-13 (for some intense sequences of western violence including disturbing images),True Grit,22-Dec-10
Drama,"R (for some drug material, language and violent content)",Winter's Bone,11-Jun-10
AnimationKids & FamilyScience Fiction & Fantasy,"PG (for sequences of intense action and some scary images, and brief mild language)",How to Train Your Dragon,26-Mar-10
AnimationComedyKids & Family,G,Toy Story 3,18-Jun-10
Art House & InternationalComedyRomance,NR,Un Baiser s'il vous plaît (Shall We Kiss?),27-Mar-09
Action & AdventureAnimationComedyDramaKids & FamilyScience Fiction & Fantasy,"PG (for mild thematic elements, some adventure action and brief language)",Where the Wild Things Are,16-Oct-09
ComedyDrama,"R (for strong sexual content, nudity, language and some teen drug and alcohol use)",The Kids Are All Right,9-Jul-10
DocumentarySpecial Interest,R (for some language),Capitalism: A Love Story,23-Sep-09
Art House & InternationalComedyDrama,NR,"Politist, adj. (Police, Adjective)",23-Dec-09
Art House & InternationalDocumentarySpecial Interest,PG,Last Train Home,3-Sep-10
Art House & InternationalDrama,"R (for strong violence, sexual content, nudity, language and drug material)",A Prophet (Un prophete),26-Feb-10
Art House & InternationalDocumentaryMusical & Performing Arts,NR,Waste Land,15-Mar-11
Drama,"PG (for some mild sensuality, a scene of violence, and brief incidental language and smoking)",The Young Victoria,18-Dec-09
Action & AdventureAnimationArt House & InternationalKids & Family,NR,A Town Called Panic (Panique au village),16-Dec-09
Drama,"PG-13 (for sexual content, drug and alcohol use and language)",The Social Network,1-Oct-10
ComedyDrama,PG-13 (for brief strong language and some sensuality),Julie & Julia,7-Aug-09
ComedyDrama,"R (for some strong sexual content, pervasive language and a scene of drug use)",Humpday,10-Jul-09
DocumentaryMusical & Performing Arts,"PG (for mild thematic elements, brief language and smoking)",It Might Get Loud,22-Dec-09
DramaSports & Fitness,PG-13 (for brief strong language),Invictus,11-Dec-09
ComedyDramaMusical & Performing Arts,PG (for some thematic elements and mild language),Bandslam,14-Aug-09
Mystery & Suspense,R (for violence and language),Triangle,24-Oct-09
Action & AdventureComedy,"R (for sexuality/nudity, language, some violence and drug content)",Black Dynamite,16-Oct-09
Art House & InternationalDrama,PG-13 (for thematic material),Okuribito (Departures),29-May-09
Art House & InternationalComedyDramaMystery & Suspense,"R (for sexual content, language and some drug material)",Broken Embraces,20-Nov-09
DocumentaryMusical & Performing Arts,PG-13 (for some thematic elements and brief strong language),Soul Power,26-Jan-10
DocumentarySpecial Interest,PG-13 (for brief strong language),The September Issue,23-Feb-10
Art House & InternationalHorror,PG,Pontypool,29-May-09
DocumentarySpecial Interest,NR,We Live in Public,28-Aug-09
DocumentaryMusical & Performing Arts,PG (for some suggestive choreography and scary images),Michael Jackson's This Is It,26-Jan-10
DramaRomance,"PG (for thematic elements, some sensuality, brief language and incidental smoking)",Bright Star,15-May-09
DocumentarySpecial Interest,NR,Collapse,15-Jun-10
Drama,"R (for language throughout, and some violence)",Gran Torino,9-Jan-09
DocumentarySpecial Interest,NR,No Impact Man: The Documentary,19-Jan-10
Art House & InternationalDramaHorror,"R (for graphic bloody violence, disturbing images, strong sexual content, nudity and language)",Bakjwi (Thirst),30-Apr-09
Comedy,"R (for pervasive language, sexual content including nudity, and some drug material)",The Hangover,5-Jun-09
Art House & InternationalDrama,PG,Treeless Mountain,22-Apr-09
Documentary,G,Disneynature Earth,22-Apr-09
HorrorMystery & Suspense,R (for language),Paranormal Activity,25-Sep-09
Art House & InternationalDrama,R (for some disturbing content involving violence and sexuality),The White Ribbon (Das weisse Band),30-Dec-09
ComedyDramaMystery & Suspense,R (for language),The Informant!,18-Sep-09
ComedyDrama,"R (for pervasive language, including crude and sexual references)","I Love You, Man",20-Mar-09
Art House & InternationalComedyDrama,G,Pranzo di Ferragosto (Mid-August Lunch),1-Apr-09
Horror,R (for some bloody violence),The House of the Devil,30-Oct-09
Art House & InternationalDramaMystery & Suspense,PG-13 (for thematic material some violence and sexuality),Skin,30-Oct-09
ComedyDrama,"PG-13 (for sexual content including crude dialogue, language and drug material)",Whip It,2-Oct-09
DocumentaryMusical & Performing Arts,NR,La Danse -- Le Ballet de l'Opera de Paris,28-Jul-14
ComedyDrama,R (for language and some sexuality),Big Fan,28-Aug-09
DramaMystery & Suspense,"R (for drug use and language throughout, some violence and sexuality)",Bad Lieutenant: Port of Call New Orleans,20-Nov-09
Art House & InternationalDrama,PG,Séraphine,5-Jun-09
Drama,"PG-13 (for brief drug use involving teens, and some language)",Amreeka,4-Sep-09
DocumentarySports & Fitness,R (for language including sexual references),Tyson,18-Aug-09
Art House & InternationalDramaMystery & Suspense,"R (for disturbing violent content including rape, grisly images, sexual material, nudity and language)",The Girl with the Dragon Tattoo,27-Feb-09
Action & AdventureDramaKids & FamilyMystery & SuspenseScience Fiction & Fantasy,"PG (for scary images, some violence, language and mild sensuality)",Harry Potter and the Half-Blood Prince,15-Jul-09
Action & AdventureComedyMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for intense epic battle sequences and warfare, sensuality, language and some smoking)",Avatar,18-Dec-09
Art House & InternationalComedyDrama,PG-13 (for sexual references and smoking),Me and Orson Welles,25-Nov-09
ComedyDramaRomance,PG-13 (for sexual material and language),500 Days of Summer,17-Jul-09
AnimationComedyKids & Family,PG (for brief mild language),Cloudy With a Chance of Meatballs,18-Sep-09
Art House & InternationalDramaRomance,PG,Etz Limon (Lemon Tree),17-Apr-09
Art House & InternationalDrama,PG,Maria Larssons eviga ögonblick (Everlasting Moments) (Maria Larsson's Everlasting Moment),6-Mar-09
Art House & InternationalDrama,NR,Il Divo,23-Apr-09
DramaMystery & Suspense,"PG-13 (for some violence, language including sexual references, and brief drug content)",State of Play,17-Apr-09
Action & AdventureArt House & InternationalClassicsDrama,R (for sequences of epic warfare),Red Cliff (Chi Bi),20-Nov-09
Drama,R (for some disturbing images and nudity/sexual content),A Single Man,11-Dec-09
AnimationComedyKids & FamilyMusical & Performing ArtsScience Fiction & FantasyRomance,G,The Princess and the Frog,11-Dec-09
DramaMystery & Suspense,"R (for violence, language and sexual content)",Sin Nombre,20-Mar-09
DocumentaryDramaMusical & Performing Arts,PG-13 (for some strong language sexual references),Every Little Step,13-Oct-09
DocumentaryTelevision,G,"Yoo-hoo, Mrs. Goldberg",10-Jul-09
ComedyDrama,"R (for language, drug use and sexual references)",Adventureland,3-Apr-09
Art House & InternationalDrama,NC17,La Nana (The Maid),16-Oct-09
ComedyDrama,"R (for language, crude sexual content, some drug use and disturbing images)",World's Greatest Dad,21-Aug-09
ComedyDrama,"R (for language, some sexuality/nudity and brief violence)",A Serious Man,2-Oct-09
Mystery & SuspenseScience Fiction & Fantasy,R (for language),Moon,12-Jun-09
ComedyDrama,R (for language),Goodbye Solo,27-Mar-09
DramaRomance,R (for language and some sexual content/nudity),The Messenger,13-Nov-09
DramaSports & Fitness,R (for language),The Damned United,9-Oct-09
Documentary,NR,Of Time and the City,23-Jan-09
Art House & InternationalDrama,PG-13 (for thematic elements and brief strong language),Tokyo Sonata (Tokyo Sonata),13-Mar-09
DramaMusical & Performing ArtsRomance,R (for language and brief sexuality),Crazy Heart,16-Dec-09
Art House & InternationalDramaKids & Family,NR,L'Heure d'été (Summer Hours),15-May-09
Action & AdventureAnimationArt House & InternationalKids & FamilyScience Fiction & Fantasy,G,Ponyo,14-Aug-09
ComedyDocumentarySpecial Interest,"PG-13 (for some language including sex and drug references, and brief partial nudity)",Good Hair,9-Oct-09
Documentary,G,Under the Sea 3D,13-Feb-09
Art House & InternationalComedyDrama,NR,Somers Town,15-Jul-09
Art House & InternationalDrama,NR,Katyn,18-Feb-09
Documentary,NR,Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,1-Jun-09
Art House & InternationalComedyDrama,G,Tulpan,1-Apr-09
ComedyHorror,R (for horror violence/gore and language),Zombieland,2-Oct-09
Art House & InternationalDramaRomance,NR,Revanche,1-May-09
DocumentarySpecial Interest,PG (for some thematic material and disturbing images),"Food, Inc.",12-Jun-09
Drama,"R (for child abuse including sexual assault, and pervasive language)",Precious: Based on the Novel Push by Sapphire,6-Nov-09
Action & AdventureDrama,"R (for strong graphic violence, language and brief sexuality)",Inglourious Basterds,21-Aug-09
Action & AdventureAnimationKids & FamilyScience Fiction & Fantasy,"PG (for thematic elements, scary images, some language and suggestive humor)",Coraline,6-Feb-09
AnimationComedyDrama,G,Mary and Max,15-Jan-09
DocumentarySpecial Interest,NR,Crude,23-Feb-10
DocumentarySpecial InterestWestern,NR,Sweetgrass,3-Aug-10
Art House & InternationalDrama,PG (for brief mild language),Avaze gonjeshk-ha (The Song of Sparrows),3-Apr-09
Art House & InternationalComedy,NR,In the Loop,24-Jul-09
ComedyDramaRomance,R (for language and some sexual content),Up in the Air,4-Dec-09
Action & AdventureArt House & InternationalDramaScience Fiction & Fantasy,R (for bloody violence and pervasive language),District 9,14-Aug-09
HorrorMystery & Suspense,"PG-13 (for sequences of horror violence, terror, disturbing images and language)",Drag Me to Hell,29-May-09
Art House & InternationalDrama,"PG-13 (for mature thematic material involving sexual content, and for smoking)",An Education,9-Oct-09
Art House & InternationalDocumentaryMusical & Performing ArtsSpecial InterestTelevision,NR,Afghan Star,30-Mar-10
DocumentaryDramaMusical & Performing Arts,NR,Anvil! The Story of Anvil,6-Oct-09
Action & AdventureDramaScience Fiction & Fantasy,PG-13 (for sci-fi action and violence and brief sexual content),Star Trek,7-May-09
Action & AdventureDrama,R (for war violence and language),The Hurt Locker,26-Jun-09
Action & AdventureAnimationComedyKids & Family,PG (for some peril and action),Up,29-May-09
Action & AdventureDramaMystery & Suspense,"PG-13 (for intense sequences of violence and action, and some sexual content)",Quantum of Solace,14-Nov-08
Drama,PG-13 (for some mature thematic elements),Under the Same Moon,19-Mar-08
Art House & InternationalDramaMystery & Suspense,NR,La Mujer sin Cabeza (The Headless Woman),21-May-08
Documentary,PG-13 (for disturbing content),The Cove,25-Apr-09
Art House & InternationalComedyMystery & Suspense,NR,La Fille Coupée en Deux (The Girl Cut in Two) (A Girl Cut in Two),14-Aug-08
Action & AdventureAnimationComedyKids & Family,"PG (for action, smoking and slang humor)",Fantastic Mr. Fox,25-Nov-09
Art House & InternationalDramaMystery & Suspense,NR,Üç Maymun (Three Monkeys),15-May-08
Art House & InternationalComedyDramaSpecial Interest,NR,Water Lilies,4-Apr-08
DramaScience Fiction & FantasyRomance,"PG-13 (for brief war violence, sexual content and smoking)",The Curious Case of Benjamin Button,25-Dec-08
Drama,R (for some violence),Che: Part Two (Guerrilla),12-Dec-08
Comedy,"PG-13 (for mature thematic material including teen drinking, sexuality, language and crude behavior)",Nick and Norah's Infinite Playlist,3-Oct-08
DocumentarySpecial Interest,NR,Body of War,19-Mar-08
Drama,NR,Afterschool,18-May-08
ComedyRomance,"PG-13 (for sexual content, including some frank dialogue, language and smoking)","Definitely, Maybe",24-Jan-08
Drama,NR,Un Secret (A Secret),5-Jun-08
Art House & InternationalDramaRomance,NR,Kirschblüten - Hanami (Cherry Blossoms),11-Feb-08
Art House & InternationalComedyDramaRomance,R (for sexual content and nudity),I Served the King of England,29-Aug-08
Action & AdventureArt House & International,R (for some violence),Ashes of Time Redux,10-Oct-08
Action & AdventureArt House & InternationalComedy,NR,"OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies)",9-May-08
Art House & InternationalComedyDrama,NR,Tokyo!,14-May-08
Drama,"R (for sexuality, nudity and language)",Elegy,10-Feb-08
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"R (for strong bloody violence throughout, pervasive language and some sexuality)",Wanted,12-Jun-08
ComedyDrama,"R (for language, some sexual content and nudity)",Baghead,13-Jun-08
DocumentarySpecial Interest,G,Flow: For Love of Water,9-Dec-08
ComedyDrama,PG-13 (for some partial nudity and innuendo),Miss Pettigrew Lives for a Day,7-Mar-08
Art House & InternationalDramaMystery & SuspenseRomance,NR,Yella,16-May-08
AnimationDocumentaryDrama,R (for language and brief sexual images),Chicago 10,27-Feb-08
DramaMystery & Suspense,"R (for language, some sexual material and a scene of violence)",Nothing But the Truth,8-Sep-08
DocumentarySpecial Interest,"R (for disturbing images and content involving torture and graphic nudity, and for language)",Standard Operating Procedure,25-Apr-08
Comedy,"R (for crude and sexual content, strong language and nudity)",Role Models,7-Nov-08
ComedyDramaKids & Family,G,Kit Kittredge: An American Girl,20-Jun-08
Art House & InternationalDrama,"R (for sexual content, nudity, some violence and brief language)",Disgrace,6-Sep-08
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for violence, terror and disturbing images)",Cloverfield,16-Jan-08
Action & AdventureDramaScience Fiction & Fantasy,"PG (for scary creature action and violence, peril and some thematic elements)",The Spiderwick Chronicles,31-Jan-08
Action & AdventureWestern,R (for some violence and language),Appaloosa,3-Oct-08
Art House & InternationalComedyDrama,NR,In Search of a Midnight Kiss,1-Aug-08
DocumentaryMusical & Performing ArtsSpecial Interest,NR,Roman Polanski: Wanted and Desired,18-Jul-08
Action & AdventureDrama,NR,Beaufort,18-Jan-08
ComedyDrama,"R (for pervasive language, some sexual content and violence)",Burn After Reading,27-Aug-08
Action & AdventureComedy,R (for language and some violence),JCVD (Van Dammage),4-Jun-08
DramaRomance,"R (for language, some sexuality and brief drug use)",Two Lovers,19-May-08
Drama,PG-13 (for thematic material),Doubt,12-Dec-08
Action & AdventureArt House & InternationalDramaMystery & Suspense,NR,Flammen & Citronen (Flame & Citron) (The Flame and the Lemon),28-Mar-08
Art House & InternationalDrama,"R (for brief sexuality/nudity, and language)",Lorna's Silence,19-May-08
Action & AdventureAnimationKids & Family,G,Dr. Seuss' Horton Hears a Who!,3-Mar-08
DramaMystery & Suspense,"R (for sexual content, nudity, violence and language)",The Bank Job,19-Feb-08
Action & AdventureDrama,"R (for strong brutal violence and torture, language and some sexuality)",Fifty Dead Men Walking,10-Sep-08
Action & AdventureArt House & InternationalDrama,"R (for strong bloody violence, disturbing images, sexual content, graphic nudity and language)",Der Baader Meinhof Komplex (The Baader Meinhof Complex),25-Sep-08
Action & Adventure,PG-13 (for adventure violence and scary images),Indiana Jones and the Kingdom of the Crystal Skull,22-May-08
ComedyDramaRomance,"PG-13 (for mature thematic material involving sexuality, and smoking)",Vicky Cristina Barcelona,17-May-08
ComedyDrama,NR,Meduzot (Jellyfish),4-Apr-08
Drama,"PG-13 (for some sexual content, a scene of violence, and brief strong language)",The Black Balloon,9-Feb-08
DocumentaryMusical & Performing Arts,"PG-13 (for brief strong language, drug references and smoking)",Shine a Light,29-Jul-08
ClassicsDrama,R (for sequences of bloody warfare),Mongol,6-Jun-08
ComedyRomance,"R (for sexual content, language and some graphic nudity)",Forgetting Sarah Marshall,10-Mar-08
DocumentarySpecial Interest,PG (for some thematic elements),I.O.U.S.A.,22-Aug-08
ComedyDrama,"R (for strong bloody violence, pervasive language and some drug use)",In Bruges,17-Jan-08
Comedy,"R (for pervasive language including sexual references, violent content and drug material)",Tropic Thunder,13-Aug-08
Art House & InternationalDocumentaryDrama,G,24 City (Er shi si cheng ji),17-May-08
DramaRomance,R (for language and brief sexuality),Rachel Getting Married,3-Sep-08
Drama,R (for language),Wendy and Lucy,22-May-08
Art House & InternationalDrama,NR,Le fils de l'épicier (The Grocer's Son),6-Jun-08
Art House & InternationalDramaMystery & Suspense,PG-13 (for thematic material and smoking),I've Loved You So Long,24-Oct-08
Drama,R (for some language),Frozen River,1-Aug-08
Action & AdventureAnimationKids & Family,PG (for sequences of martial arts action),Kung Fu Panda,6-Jun-08
Art House & InternationalDramaSpecial Interest,R,Hunger,5-Dec-08
ComedyDramaRomance,"PG (for thematic elements involving sexuality, language and some smoking)",Caramel,1-Feb-08
DocumentarySpecial Interest,"R (for drug and sexual content, language and some nudity)",Gonzo: The Life and Work of Hunter S. Thompson,20-Jan-08
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,"PG-13 (for sequences of sci-fi action and violence, and some language)",Hellboy II: The Golden Army (Hellboy 2),28-Jun-08
Art House & InternationalComedyDrama,NR,Un Conte de Noël (A Christmas Tale),14-Nov-08
DramaMystery & Suspense,"R (for some violence, including torture and language)",Transsiberian,18-Jul-08
Action & AdventureAnimationComedy,PG (for some mild action and peril),Bolt,21-Nov-08
ComedyDocumentaryScience Fiction & FantasySpecial Interest,"PG-13 (for some strong language, sexual humor and drug references)",Ghost Town,5-Sep-08
Art House & InternationalComedyDrama,NR,Momma's Man,22-Aug-08
Art House & InternationalDocumentaryTelevision,"R (for graphic nudity, sexuality, violence and gore, some language and drug use)","Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",28-Jul-08
Art House & InternationalComedyDrama,"R (for strong violence/gore, language, substance abuse and brief sexuality/nudity)",The Pool,5-Sep-08
Drama,PG-13 (for brief strong language),The Visitor,25-Apr-08
Art House & InternationalDrama,NR,Chop Shop,27-Feb-08
Art House & InternationalDramaMystery & Suspense,NR,Gomorrah (Gomorra),13-Feb-08
Art House & InternationalDrama,NR,Ballast,1-Oct-08
DocumentaryDramaSpecial Interest,NR,Dear Zachary: A Letter to a Son About His Father,31-Oct-08
DocumentarySpecial Interest,NR,Trouble the Water,25-Aug-09
DocumentarySpecial Interest,"PG-13 (for thematic material involving drugs, language, some sexual content and violent images)","Bigger, Stronger, Faster*",30-May-08
Art House & InternationalDrama,NR,35 Rhums (35 Shots of Rum),1-Sep-08
DramaSports & Fitness,"R (for language, some sexuality and brief drug use)",Sugar,21-Jan-08
AnimationArt House & InternationalDocumentarySpecial Interest,"R (for some disturbing images of atrocities, strong violence, brief nudity and a scene of graphic sexual content)",Waltz with Bashir,15-May-08
