genre,level,title,time
Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG,Star Trek VI - The Undiscovered Country,3-Dec-91
Art House & InternationalDrama,R,My Own Private Idaho,18-Oct-91
ComedyDrama,PG,What About Bob?,1-Jan-91
DramaMystery & SuspenseRomance,"R (adult situations/language, violence)",Dead Again,23-Aug-91
ComedyDramaScience Fiction & Fantasy,"R (adult situations/language, violence)",The Fisher King,20-Sep-91
Comedy,"R (for strong language, and for some violence and sensuality.)",Thelma & Louise,24-May-91
Drama,"R (for violence, language and sensuality)",Bugsy,13-Dec-91
ComedyDrama,R (for language and some scenes of violence.),Barton Fink,21-Aug-91
Comedy,PG,Father of the Bride,1-Jan-91
Action & AdventureDramaScience Fiction & Fantasy,"R (for strong sci-fi action and violence, and for language)",Terminator 2: Judgment Day,3-Jul-91
DramaRomance,PG,Daughters of the Dust,27-Dec-91
DramaMystery & Suspense,"R (for strong violence, and for language)",Cape Fear,13-Nov-91
Drama,"R (Violence, language, sensuality)",Boyz n the Hood,12-Jul-91
AnimationDramaKids & FamilyMusical & Performing ArtsScience Fiction & FantasyRomance,G,Beauty and the Beast,8-Oct-02
HorrorMystery & Suspense,R (adult situations/language),The Silence of the Lambs,13-Feb-91
AnimationArt House & InternationalDramaRomance,"PG (for thematic elements, some rude behavior and smoking)",Only Yesterday,26-Feb-16
Action & AdventureKids & FamilyScience Fiction & Fantasy,PG (N/A),Teenage Mutant Ninja Turtles: The Movie,30-Mar-90
Action & AdventureDramaRomance,"R (adult situations/language, violence)",Days of Thunder,27-Jun-90
HorrorMystery & SuspenseScience Fiction & Fantasy,"R (adult situations/language, nudity, violence)",Flatliners,10-Aug-90
DramaMystery & Suspense,"R (adult situations/language, violence)",JFK,20-Dec-91
